Year,Street,From,To,Length,Facility,Status
2024,16th,Central Park,Homan,0.25,Concrete Upgrade,Installed
2024,16th,Spaulding,Kedzie,0.13,Concrete Upgrade,Installed
2024,24th,Marshall,California,0.18,Protected Bike Lane,Installed
2024,31st,Michigan,MLK,0.33,Concrete Upgrade,Installed
2024,Ainslie,Rockwell,Lincoln,0.2,Neighborhood,Installed
2024,Canal,Roosevelt,Taylor,0.18,Concrete Upgrade,Installed
2024,Clark,Grand,Oak,0.62,Protected Bike Lane,Installed
2024,Chicago,Grand,Western,0.67,Bike Lane,Installed
2024,Damen,17th,14th,0.31,Protected Bike Lane,Installed
2024,Dearborn,Division,Goethe,0.13,Bike Lane,Installed
2024,Dearborn,Goethe,North,0.37,Neighborhood,Installed
2024,Douglas,Independence,Sacramento,0.95,Concrete Upgrade,Installed
2024,Franklin,Central Park,Sacramento,0.76,Concrete Upgrade,Installed
2024,Francisco,Lawrence,Ainslie,0.14,Protected Bike Lane,Installed
2024,Grand,Chicago,Damen,1.27,Protected Bike Lane,Installed
2024,Jackson,Oakley,Hoyne,0.25,Concrete Upgrade,Installed
2024,Jackson,Damen,Ogden,0.3,Concrete Upgrade,Installed
2024,Kedzie,28th,Cermak,0.75,Bike Lane,Installed
2024,Kilbourn,Belmont,Addison,0.52,Neighborhood,Installed
2024,Rockwell,Argyle,Winnemac,0.05,Neighborhood,Installed
2024,Taylor,Morgan,Canal,0.61,Concrete Upgrade,Installed
2024,Winnemac,Rockwell,Leavitt,0.5,Neighborhood,Installed
2023,115th,Major Taylor Trail,Union,0.3,Concrete Upgrade,Installed
2023,119th,Ashland,Halsted,1.01,Concrete Upgrade,Installed
2023,18th,Canal,Wentworth,0.36,Concrete Upgrade,Installed
2023,28th,Kostner,Albany,1.64,Neighborhood,Installed
2023,30th,Kostner,Albany,1.63,Neighborhood,Installed
2023,31st,Wells,LaSalle,0.15,Concrete Upgrade,Installed
2023,35th,Halsted,Railroad,0.52,Bike Lane,Installed
2023,35th,Railroad,Wentworth,0.23,Protected Bike Lane,Installed
2023,71st,Langley,Cottage Grove/South Chicago,0.16,Protected Bike Lane,Installed
2023,81st,Damen,Racine,1,Neighborhood,Installed
2023,81st,Halsted,Vincennes,0.45,Neighborhood,Installed
2023,82nd,Ashland,Loomis,0.25,Neighborhood,Installed
2023,83rd,State,Wabash,0.08,Protected Bike Lane,Installed
2023,Argyle,Chicago River,Rockwell,0.49,Neighborhood,Installed
2023,Armitage,Kedzie,Western,1,Bike Lane,Installed
2023,Augusta,Western,Milwaukee,1.34,Protected Bike Lane,Installed
2023,Augusta,Milwaukee,Throop,0.11,Access Path,Installed
2023,Augusta,Throop,Elston,0.12,Shared Lane,Installed
2023,Belmont,Kimball,Western/Clybourn,1.27,Protected Bike Lane,Installed
2023,Belmont,Western/Clybourn,Ashland,0.99,Bike Lane,Installed
2023,Berteau,Western,Lincoln,0.38,Neighborhood,Installed
2023,Blue Island,18th,Roosevelt,0.75,Protected Bike Lane,Installed
2023,Broadway,Montrose,Wilson,0.28,Concrete Upgrade,Installed
2023,California,Milwaukee,Fullerton,0.13,Bike Lane,Installed
2023,Central Park,Armitage,Fullerton,0.51,Bike Lane,Installed
2023,Central Park,Madison,Franklin,0.67,Protected Bike Lane,Installed
2023,Clark,Hollywood,Devon,0.99,Concrete Upgrade,Installed
2023,Clark,Irving Park,Montrose,0.54,Protected Bike Lane,Installed
2023,Clinton,Harrison,Fulton,0.86,Concrete Upgrade,Installed
2023,Dearborn,Chicago,Delaware,0.15,Protected Bike Lane,Installed
2023,Dearborn,Delaware,Walton,0.07,Buffered Bike Lane,Installed
2023,Dearborn,Walton,Division,0.28,Bike Lane,Installed
2023,Dearborn,Kinzie,Chicago,0.52,Protected Bike Lane,Installed
2023,Desplaines,Harrison,Lake,0.79,Concrete Upgrade,Installed
2023,Dickens,Magnolia,Stockton,1.1,Neighborhood,Installed
2023,Grand,Central,Long,0.26,Concrete Upgrade,Installed
